ad_type,campaignName,adGroupName,state,defaultBid,campaign_id,ad_group_id,pulled_at
SPONSORED_PRODUCTS,PARENT MR 6.5 PT,PARENT MR 6.5 PT AG,ENABLED,0.60,256347812029139,358405898476622,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT MR COMBO 2Pair KW,PARENT MR COMBO 2Pair KW AG,ENABLED,0.60,42531186597351,55282725765246,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT MR COMBO KW,PARENT MR COMBO KW AG,ENABLED,0.60,275278956419376,253860840411295,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT MS SHORT KW,PARENT MS SHORT KW AG,ENABLED,0.60,197627322428229,23301275594647,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT MS SHORT PT,PARENT MS SHORT PT AG,ENABLED,0.60,189831208400003,326644129351337,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT MUSIC CLIP KW AG,ENABLED,0.60,182001344194645,230901793223274,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT MUSIC CLIP PT,PARENT MUSIC CLIP PT AG,ENABLED,0.60,53857588295685,481987686217359,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT MX 4CH 2MIC KW,PARENT MX 4CH 2MIC KW AG,ENABLED,0.60,247855688651826,110068765731361,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT NW 2PCS KW AG,ENABLED,0.60,112578077571689,220690799354866,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT NW 2PCS PT,PARENT NW 2PCS PT AG,ENABLED,0.60,162965657752186,464008844466350,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT NW KW AG,ENABLED,0.60,253378872534594,43741168927259,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT NW PT,PARENT NW PT AG,ENABLED,0.60,257842680212041,454466300921749,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT P-CORD KW AG,ENABLED,0.50,134279136849370,65036497534419,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT SDS KW,PARENT SDS KW AG,ENABLED,0.60,273103428562384,95589261800184,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT SPEAKON 2PCS KW AG,ENABLED,0.60,68621576821516,87440572920005,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT SPEAKON 2PCS PT,PARENT SPEAKON 2PCS PT AG,ENABLED,0.60,155780443509850,360906636259935,2026-09-19 16:57:30
