Goods name	Goods ID	SKU	Spend	Net total cost	Base Price Sales (Overall)	ROAS (Overall)	ACOS (Overall)	Cost Per Order (Overall)	Sub Order Count (Overall)	Items (Overall)	Impressions (Overall)	Clicks (Overall)	CTR (Overall)	CVR (Overall)	Add to cart count (Overall)	Net Base Price Sales (Overall)	Net ROAS (Overall)	Net ACOS (Overall)	Net Cost Per Order (Overall)	Net Sub Order Count (Overall)	Net Items (Overall)
5 Core Microphone 3Pc Dynamic Vocal Handheld Mic Cardioid Singing Karaok Microfono w On Off Switch	602489948609643		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	22	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 15" Subwoofer Speaker 450W MAX PA DJ Replacement Audio Sub Woofer 8Ohm Bass Driver	603128111986885		$0.00	$0.00	$244.93	∞	0.00%	$0.00	5	7	2,871	217	7.55%	2.30%	23	$244.93	∞	0.00%	$0.00	5	7
5 Core 15" Subwoofer Speaker Full Range PA DJ Audio Sub Woofer Bass Replacement Driver	603200220433700		$0.00	$0.00	$626.81	∞	0.00%	$0.00	15	19	9,991	741	7.41%	2.02%	77	$593.82	∞	0.00%	$0.00	14	18
5 Core 12 Inch Subwoofer Pair 1200W Car Audio Sub Woofer 4 Ohm w Deep Bass Replacement Loud Speaker	602333006140081	WF 12120 4OHMS 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core 12 Inch DJ Subwoofer Speaker Audio Replacement Sub woofer	602273245712289	SP 12120	$0.00	$0.00	$239.90	∞	0.00%	$0.00	4	10	2,733	140	5.12%	2.85%	17	$239.90	∞	0.00%	$0.00	4	10
5Core Wireless Microphones VHF Microfonos Inalambricos Professional Handheld Cordless Mic	602435447806490	WM 1001	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core 10 inch Slim Under Seat Car Audio Subwoofer 800W Built in Amplifier Sub Woofer Enclosure Box	602969374307061	BTUBE UNDR ST 150	$0.01	$0.01	$0.00	0.00	0.00%	$0.00	0	0	339	10	2.94%	0.00%	2	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Tripod Heavy Duty Adjustable 72" Universal Mount for PA DJ Studio	602369689535821		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	3	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core keyboard Stand Adjustable Electric Digital Piano Synth Holder Heavy Duty for 54-88 Key Boards	603124530045195	KS PRO 4 BLK	$0.23	$0.23	$104.98	456.43	0.21%	$0.12	2	2	1,524	37	2.42%	5.40%	6	$104.98	456.43	0.21%	$0.12	2	2
5 Core Snare Drum Stand w Drum Sticks Holder Double Braced Heavy Duty Tripod Stand Adjustable 22"	602987091068689		$0.54	$0.54	$66.68	123.48	0.80%	$0.14	4	4	2,694	63	2.33%	6.34%	8	$66.68	123.48	0.80%	$0.14	4	4
5Core Duet Piano Bench – 3.5" Padded Cushion, Wooden Heavy-Duty Musician Stool with Storage	603243371456565	PNB DT BR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	602972318713227	PM-66K 1 Pair	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Adjustable Piano Bench Thick 3.25" Solid Wood Keyboard Stool Heavy Duty Musician Chair	602311573226978	PNB 480 BR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Piano Bench 3.25" Padded Seat Adjustable Height Musician Chair	602576250573446	PNB 480 BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 9 Inch PA Horn 200W Loud Speaker Pair Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - UHC 150 2PCs	603234143937695	UHC 150 2PCs	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Microfono Handheld Mics	602420549630306	ND-58	$1.74	$1.74	$23.64	13.59	7.36%	$0.87	2	3	2,290	53	2.31%	3.77%	9	$23.64	13.59	7.36%	$0.87	2	3
5Core 6.5 Inch Midrange Door Speaker + Tweeter Combo PMPO Subwoofer PMPO Tweeters	602257206657497	MR6.5-4oHMX2Pcs+TW-BULLET180X2Pcs	$0.00	$0.00	$98.98	∞	0.00%	$0.00	2	2	7,047	318	4.51%	0.62%	31	$98.98	∞	0.00%	$0.00	2	2
5 Core 6.5" Mid-Range Replacement 2Pc Pro Audio PA DJ Car Speaker 360W 8 Ohms 60W Super Tweeters	602712213183189	MR 6.5-8oHM +TW BLT 400 X2PAIR	$0.12	$0.12	$0.00	0.00	0.00%	$0.00	0	0	683	30	4.39%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mid Range Car Speaker Package Includes 2X Midrange Loudspeaker 6.5" and 2X Aluminum Super Bullet Tweeter 1" w Built in Crossover Door Loudspeaker for Truck Stereo	603124530037245	MR 6.5-4oHM +TW BLT 400 X2PAIR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	202	3	1.48%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Megaphone 60W Bull Horn Professional PA Speaker w 1200 Yards Range Loud Siren Voice Amp	602613286299771	77SF New	$3.31	$3.31	$32.29	9.76	10.25%	$3.31	1	1	422	21	4.97%	4.76%	5	$32.29	9.76	10.25%	$3.31	1	1
5Core Keyboard Stand Z Style Sturdy Adjustable Electric Piano Riser Holder With Wheels BLUE	602840785374587	KS Z1 BLU HD WHLS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	69	2	2.89%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Keyboard Stand Adjustable z Style Piano Riser + Keyboard Piano Bench PINK	602925308996283	KS Z1 BPNK + KBB 02 PNK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 8 Inch PA Horn 250W Loud Speaker 4Pcs Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - HW 508 WH 4PCS	602968258672442	HW 508 WH 4PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 12 Inch Guitar Speaker 200W 8 Ohm Amp Cabinet Replacement Amplifier Woofer	602405391455022	SP 12120 8OHM GTR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
Adjustable Heavy Duty Guitar Stand with Neck Holder – Fits Acoustic, Electric, Bass & Classical Guitars – Floor Display Rack	602441990900943		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Wall Mount 2Pc Hanger Hook Metal Base Soft Padding Adjustable Rotatable Holder	602215070726699		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne 4" Padded Guitar Stool Drummer Chair Adjustable Seat	602959534457658	DS CH WH SDL HD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	2	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Practice Pad Set 12" Adjustable Snare Drumming Stand Double Sided Silent Drummer Kit ORANGE	602968560630892	DPAD COMBO ORG	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	61	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Practice Pad Set 12" Adjustable Snare Drumming Stand Double Sided Silent Drummer Kit BLUE	602687710064334	DPAD COMBO BLU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	56	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core 10x 2" Replacement Phenolic Tweeter Diaphragm Voice Coil High Pitch Horn	603288812492038		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core 6x9 Car Speaker 4Pcs 800W 4Ohm 2 Way Coaxial Speaker Audio w Super Tweeter Fit for Vehicle	603151373592352		$0.14	$0.14	$40.72	290.86	0.34%	$0.14	1	1	431	27	6.26%	3.70%	5	$40.72	290.86	0.34%	$0.14	1	1
5Core 6x9 Car Speaker 4Pcs 800W 4Ohm 2 Way Coaxial Speaker Audio w Super Tweeter Fit for Vehicle	602464178766276		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Coaxial Car Door Speakers 5” 4Pcs 350W 4Ohm 2 Way Component Subwoofer Audio w Super Tweeter	602764826510381		$0.04	$0.04	$64.45	1611.25	0.06%	$0.02	3	3	2,170	83	3.82%	3.61%	10	$64.45	1611.25	0.06%	$0.02	3	3
5Core Coaxial Car Door Speakers 5” 4Pcs 350W 4Ohm 2 Way Component Subwoofer Audio w Super Tweeter	602258020358832		$2.80	$2.80	$45.98	16.42	6.08%	$1.40	2	2	775	46	5.93%	4.34%	8	$45.98	16.42	6.08%	$1.40	2	2
5Core Coaxial Door Car Speakers 4” 4Pcs 250W 4Ohm 2 Way Component Subwoofer Audio w Super Tweeter	602739056732662		$2.35	$2.35	$18.19	7.74	12.91%	$2.35	1	1	5,477	192	3.50%	0.52%	25	$18.19	7.74	12.91%	$2.35	1	1
5 Core 4 Inch 2 Way Coaxial Car Door Speakers 250W 4Pcs w Tweeter Component Driver for Vehicle Door or Side Panel Mount Universal Fit – CS 04 2W 4PCS	602258020399317		$0.13	$0.13	$0.00	0.00	0.00%	$0.00	0	0	1,041	31	2.97%	0.00%	4	$0.00	0.00	0.00%	$0.00	0	0
5 Core Compression Driver Pair Horn Speaker 1 Inch Aluminum Tweeter 200W Peak 8 Ohm Pro Audio Driver Weather Resistant for PA DJ Sound Systems - 5C-D26 2PCS	602953805073961		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 12 Inch Guitar Speaker 300W Replacement 8 Ohm Amplifier Cabinet Driver	602437335270198	GSP 12150 8	$0.00	$0.00	$53.98	∞	0.00%	$0.00	1	2	729	43	5.89%	2.32%	5	$53.98	∞	0.00%	$0.00	1	2
5 Core 12 Inch Guitar Speaker 300W Replacement 16 Ohm Amplifier Cabinet Driver	602437335232162	GSP 12150 16	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	201	4	1.99%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 10 Inch Guitar Speaker 60W 8Ohm 25Oz Magnet 1.25" VC Amplifier Cabinet Driver	602987091063430	GSP 1030 8	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	239	10	4.18%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core 10 Inch Guitar Speaker 60W 16Ohm 25Oz Magnet 1.25" VC Amplifier Cabinet Driver	602987091040868	GSP 1030 16	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	399	14	3.50%	0.00%	3	$0.00	0.00	0.00%	$0.00	0	0
5 Core 6.5 Inch Subwoofer 300W Car Audio Sub Woofer 4 Ohm Deep Bass Replacement Loud Speaker	602644567428919		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Coaxial Car Door Speakers 6” 4Pcs 500W 4Ohm 2 Way Component Subwoofer Audio w Super Tweeter	603288812515922		$7.35	$7.35	$80.97	11.02	9.07%	$2.45	3	3	6,031	270	4.47%	1.11%	34	$80.97	11.02	9.07%	$2.45	3	3
5 Core 2 Way 6” Car Stereo Speakers 500W Pair Deep Bass Audio Coaxial Subwoofer w Tweeter Universal Fit Component Speaker for Vehicle Door Side Panel Mount - CS 06 2W	603058226448816	CS 06 2W	$19.37	$19.37	$358.83	18.53	5.39%	$0.85	23	27	36,864	1,002	2.71%	2.29%	112	$332.25	17.15	5.82%	$0.93	21	25
5Core Speakon Adapter High Quality Audio Jack Male Audio Pin Speaker Adapter Connector	602679187234716	SPKN BLU 2PCS	$0.00	$0.00	$37.20	∞	0.00%	$0.00	15	28	4,978	185	3.71%	8.10%	30	$37.20	∞	0.00%	$0.00	15	28
5 Core 15 Inch Guitar Speaker Replacement 450W 4 Ohm Low Distortion for Electric Guitar Amp Cabinet	602956757871073	WF 15 140 4OHM GTR	$0.00	$0.00	$37.99	∞	0.00%	$0.00	1	1	437	22	5.03%	4.54%	1	$37.99	∞	0.00%	$0.00	1	1
5Core Coaxial Car Door Speakers 6” Pair 500W 4Ohm 2 Way Component Subwoofer Audio w Super Tweeter	602647520230235	CS 06 2W WoG	$5.10	$5.10	$71.94	14.11	7.08%	$0.85	6	6	16,499	430	2.60%	1.39%	43	$71.94	14.11	7.08%	$0.85	6	6
5Core Capo Acoustic Electric Guitar 6 String Kapo Clip For Banjo Mandolin Ukulele BLUE	602606709646523	CAPO BLUE 1Pc	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Compression Driver 300W RMS 8 Ohm Titanium Horn Throat Tweeter Speaker 18 TPI Threading	602450480198024	CD 135	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Retro Dynamic Microphone, Vintage Style Metal Body Cardioid Mic with XLR Connection, Stand Compatible – Copper	602668584010853	RTRO MIC COPPER	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	3	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Microphone 2Pc Dynamic Karaoke XLR Mic Cardioid Unidirectional Handheld Wired Microfono	602851128480480	BETA 2Pcs	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core 8" Car Subwoofer Pair – Deep Bass Replacement Speakers for Car & Truck	602273849644621	WF 8"-890 2PC	$176.98	$174.74	$2,861.30	16.17	6.18%	$1.47	121	125	164,993	6,441	3.90%	1.87%	564	$2,559.43	14.65	6.82%	$1.59	110	112
5 Core Guitar Stand A Frame w Soft Foam Arm Non Slip Rubber for Acoustic Electric Bass Ukulele	602737102166878	GSS BLK	$0.06	$0.06	$0.00	0.00	0.00%	$0.00	0	0	415	9	2.16%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Super Tweeter 2Pc 1" Car Audio Speaker 60W Max Power 4 Ohm Titanium Diaphragm Neodymium Magnet	602813908269215	TW ND 01 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
Adjustable Heavy Duty Guitar Stand with Neck Holder – Fits Acoustic, Electric, Bass & Classical Guitars – Floor Display Rack	603195120181641	GSH HD D-BLU	$16.49	$16.49	$238.09	14.44	6.92%	$0.69	24	31	10,528	235	2.23%	10.21%	62	$230.52	13.98	7.15%	$0.72	23	30
5 Core Retro Dynamic Vocal Iconic Microphone Vintage Style Classic Cardioid Unidirectional Mic	603126006444808	RTRO MIC RSE GLD	$2.71	$2.71	$23.99	8.85	11.29%	$2.71	1	1	488	25	5.12%	4.00%	6	$23.99	8.85	11.29%	$2.71	1	1
5Core AC Power Cord 6Ft 3 Prong US Male to Female	602450446614696	PL 1001	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Vintage Microphone Classic Dynamic Professional XLR Studio Retro Style Mic Black	603128011292633	RTRO MIC BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	715	38	5.31%	0.00%	4	$0.00	0.00	0.00%	$0.00	0	0
5 Core Megaphone Bullhorn 50W Speaker w Bluetooth Siren Adjustable Volume Loud Portable PA System	602330497973914		$0.08	$0.08	$98.97	1237.13	0.08%	$0.04	2	3	873	50	5.72%	4.00%	17	$65.98	824.75	0.12%	$0.08	1	2
5Core Super Tweeter 2Pc 1 Inch Neodymium 300W Compression Titanium Bullet Tweeters w Aluminum Frame	602300659655594	TW ND 02 RED 2 PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Megaphone Bullhorn 50W Speaker w Bluetooth Siren Adjustable Volume Loud Portable PA System	602857705200321		$0.00	$0.00	$107.04	∞	0.00%	$0.00	3	3	653	19	2.90%	15.78%	13	$107.04	∞	0.00%	$0.00	3	3
5Core Outdoor Speakers Stereo In Wall 500W Peak Passive Home Audio System	603003734074253	Window	$0.00	$0.00	$17.40	∞	0.00%	$0.00	1	1	2,308	78	3.37%	1.28%	11	$17.40	∞	0.00%	$0.00	1	1
5 Core Megaphone Bullhorn 50W Speaker w Handheld Mic Shoulder Strap Loud Clear Audio	602720266244168		$2.92	$2.92	$47.98	16.43	6.08%	$1.46	2	2	1,670	85	5.08%	2.35%	8	$23.99	8.22	12.17%	$2.92	1	1
5 Core Speaker Stand Tripod Heavy Duty Adjustable 60" Universal Mount for PA DJ Studio	602666579113354		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	5	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Piano Bench Wooden Height Adjustable Stool Heavy Duty Keyboard Seat with Storage Pink	602689857531097	PNB WD HD PNK	$0.58	$0.58	$0.00	0.00	0.00%	$0.00	0	0	1,767	42	2.37%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Microfono Handheld Mics	602737303467588	ND 58 BLU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Microfono Handheld Mics	602368875850139	ND 909 CHROME	$0.00	$0.00	$67.05	∞	0.00%	$0.00	9	9	5,759	141	2.44%	6.38%	30	$67.05	∞	0.00%	$0.00	9	9
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Microfono Handheld Mics	602784011287141	ND-959 Elantra	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	159	4	2.51%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Speaker Stand Tripod Tall Air Assist Lowering Adjustable Heavy Duty Floor Stands	602765019471483	SSHD HYD AIR BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Tripod Floor with RGB LED Lights Heavy Duty Adjustable Up to 72 Inch DJ Studio Monitor Stands Pole Mount - SS HD LGT	602210633129946	SS HD LGT	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Microfono Handheld Mics	602845617183326	ND-32 ARMEX	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Megaphone 30W Bull Horn PA Speaker w 800 Yards Range Siren LED Light Loud Mini Megafono	602230363155611	148 LED	$0.04	$0.04	$0.00	0.00	0.00%	$0.00	0	0	44	3	6.81%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core Megaphone Bullhorn 50W Speaker w Bluetooth Siren Adjustable Volume Loud Portable PA System	602303654369741		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	155	0	0.00%	0.00%	5	$0.00	0.00	0.00%	$0.00	0	0
5 Core Megaphone 20W Bull Horn PA Speaker w 300 Yards Range Loud Siren Voice Amp Portable Megafono	602326597265374	20R-USB WoB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
Adjustable Heavy Duty Guitar Stand with Neck Holder – Fits Acoustic, Electric, Bass & Classical Guitars – Floor Display Rack	603171061660637		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Speaker Wall Mount Adjustable Swivel 15 Inch Space Bookshelf Brackets Pair	602590603498991	WST 04-15 Pair	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	263	14	5.32%	0.00%	11	$0.00	0.00	0.00%	$0.00	0	0
5 Core 8 Inch Car Subwoofer Dual 4 Ohm Audio Speaker Replacement	602789346386773	WF 8140 DBL D4	$0.01	$0.01	$0.00	0.00	0.00%	$0.00	0	0	59	10	16.94%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core 8 Inch Subwoofer Dual 2 Ohm 1000W Car Replacement Loud Audio Speaker Component Sub Woofer	602672308545142		$0.28	$0.28	$0.00	0.00	0.00%	$0.00	0	0	313	40	12.77%	0.00%	5	$0.00	0.00	0.00%	$0.00	0	0
5 Core 8 Inch Car Woofer Audio 1000W 4Ohm Deep Bass Replacement Sub Woofer Loud Speaker System	603174727471508	WF 8120 4 OHM	$28.80	$26.90	$436.56	15.16	6.59%	$1.11	26	34	39,741	1,959	4.92%	1.32%	226	$385.20	14.32	6.98%	$1.17	23	30
5 Core Subwoofer 8" Car Audio Sub Woofer Speaker 4 Ohm Bass Replacement Subwoofers Driver 4Pcs	602593791167089	WF 8"-890 4PC	$0.26	$0.26	$0.00	0.00	0.00%	$0.00	0	0	629	40	6.35%	0.00%	2	$0.00	0.00	0.00%	$0.00	0	0
5 Core 6.5" Subwoofer Dual 4 Ohm 1000W Max Replacement Car Audio Loud Speaker Component Sub Woofer	602839812290479		$60.40	$57.25	$726.37	12.03	8.31%	$4.03	15	19	21,426	2,276	10.62%	0.65%	260	$649.91	11.35	8.80%	$4.41	13	17
5 Core Car Subwoofer 10" 3000W Pro Audio Deep Bass Component Sub Woofer 4Ohm Replacement Speaker	603023464058091	WF 10140 4OHM	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	4	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Speaker Wall Mount Adjustable Swivel 11 Inch Space Bookshelf Brackets Pair	602754282023896	WST 04-11 Pair	$0.00	$0.00	$676.85	∞	0.00%	$0.00	39	46	20,980	742	3.53%	5.25%	109	$662.23	∞	0.00%	$0.00	38	45
5Core Wireless Microphone Pair UHF Handheld Microfonos Inalambricos Cordless Mic GOLD	602840248505819	WM UHF 02-GLD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 8 Inch Subwoofer Speaker 500W 4Ohm Replacement Car Bass Sub Woofer	602865682717006	WF 8"-890 1PC	$1.61	$1.61	$83.15	51.65	1.93%	$0.27	6	6	7,401	268	3.62%	2.23%	40	$83.15	51.65	1.93%	$0.27	6	6
5Core 12 Inch Subwoofer Speaker Audio Replacement Sub woofer	602474102508127	WF 12120 4OHM	$0.78	$0.78	$0.00	0.00	0.00%	$0.00	0	0	2,849	162	5.68%	0.00%	23	$0.00	0.00	0.00%	$0.00	0	0
5 Core Super Tweeter Max Neodymium Magnet Titanium Bullet Speaker Horn	603208541927493	TW ND 01 1PC	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Tweeters Speakers Car Audio Pair 600W Peak 3.5 Inch Super Bullet Tuiters Para Sonido Para Carro	602946548948032	TW BLT 180 CH PAIR	$17.77	$17.77	$593.01	33.37	2.99%	$0.60	30	33	8,120	623	7.67%	4.81%	113	$576.03	32.42	3.08%	$0.62	29	32
5 Core Tweeters Speakers Car Audio Pair 600W Peak 3.5 Inch Super Bullet Tuiters Para Sonido Para Carro	602781192690789	TW BLT 180 BLK PAIR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Tweeters Speakers Car Audio Pair 600W Peak 3.5 Inch Super Tweeter Bullet	602416120440670	TW BLT 150 CH PAIR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 CORE Tweeters Speakers Car Audio Pair 600W Combined Peak 4 Ohm 3.5 Inch Aluminum Super Bullet Tuiters para Sonido para Carro - TW BLT 150 BLK Pair	602916484137566	TW BLT 150 BLK PAIR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand Adjustable Microphone Stands Floor w 180° Rotating Telescoping Metal Boom Arm	602417194219407	TBMS 80 HD	$6.27	$6.27	$113.94	18.17	5.50%	$1.26	5	6	3,265	106	3.24%	4.71%	15	$113.94	18.17	5.50%	$1.26	5	6
5Core Guitar String Winder 6Pcs Professional Guitars Tools Peg Winder with Bridge Pin Remover	602789883267439	SW S RED 6 PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar String Winder Professional Guitars Tools Peg Winder with Bridge Pin Remover	602645909616820	SW L RED 5PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 16 Inch PA Horn 400W Loud Speaker Bull Horn Loud Audio 10Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - SUH-400 1Pc	602868165797610	SUH-400 1Pc	$0.00	$0.00	$155.96	∞	0.00%	$0.00	2	4	3,011	79	2.62%	2.53%	7	$155.96	∞	0.00%	$0.00	2	4
5 Core 13.5 Inch PA Horn 350W Loud Speaker Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - SUH-300 1Pc	602492498718076	SUH-300 1Pc	$0.08	$0.08	$25.64	320.50	0.31%	$0.08	1	1	956	33	3.45%	3.03%	6	$25.64	320.50	0.31%	$0.08	1	1
5 Core 10 Inch PA Horn 200W Loud Speaker Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - SUH-150 1Pc	602759726240179	SUH-150 1Pc	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	76	1	1.31%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
