Goods name	Goods ID	SKU	Spend	Net total cost	Base Price Sales (Overall)	ROAS (Overall)	ACOS (Overall)	Cost Per Order (Overall)	Sub Order Count (Overall)	Items (Overall)	Impressions (Overall)	Clicks (Overall)	CTR (Overall)	CVR (Overall)	Add to cart count (Overall)	Net Base Price Sales (Overall)	Net ROAS (Overall)	Net ACOS (Overall)	Net Cost Per Order (Overall)	Net Sub Order Count (Overall)	Net Items (Overall)
5Core Drum Mic Kit 9 Pcs Kick BassTom Snare Dynamic Mics Instrument Microphone Set GREY	603114723735673	DM 9RND GREY New	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Car Subwoofer 2Pc 10" 3000W Pro Audio Deep Bass Component Sub Woofer 4Ohm Replacement Speaker	602748586164352	WF 10140 4OHM 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	12	2	16.66%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Megaphone 30W Bull Horn PA Speaker w 800 Yards Range Loud Siren Voice Amplifier Portable	602442267775049	8R RED	$7.25	$7.25	$798.30	110.11	0.90%	$0.12	63	72	34,381	1,245	3.62%	5.06%	327	$760.96	104.96	0.95%	$0.13	60	69
5 Core Recording Microphone Podcast Bundle Professional Condenser Cardioid Mic Kit w Boom Arm	602769381541021	RM 8 BG	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Microphone Stand with Tablet Holder Foldable Adjustable 44–67 Inch Floor Boom Mic Arm w Phone Clamp Tripod w Carry Bag + 2 Mic Clips for Singing Karaoke Studio Stage - MS MOB	602394242941740	MS MOB New	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Keyboard Stand Piano Bench Combo Adjustable Key Board Stands 2" Padded Musician Chair Set	602850725824919		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 6 Inch Subwoofer Pair 300W Car Audio Sub Woofer 4 Ohm Deep Bass Replacement Loud Speaker	602281206465824	WF 672 2 PCS	$1.58	$1.58	$12.99	8.22	12.16%	$1.58	1	1	2,355	81	3.43%	1.23%	7	$12.99	8.22	12.16%	$1.58	1	1
5 Core Microphone Professional Dynamic Mic Karaoke Singing XLR Wired Micrófono	602844920958333		$2.02	$2.02	$30.36	15.03	6.65%	$0.68	3	3	1,019	37	3.63%	8.10%	12	$20.24	10.02	9.98%	$1.01	2	2
5 Core Microphone Professional Dynamic Mic Karaoke Singing XLR Wired Micrófono	602844920939129		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	43	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Keyboard Stand Z Style Heavy Duty Sturdy Piano Riser Height Adjustable Holder RED	603144587209039	KS Z1 RED HD	$0.34	$0.34	$0.00	0.00	0.00%	$0.00	0	0	740	30	4.05%	0.00%	3	$0.00	0.00	0.00%	$0.00	0	0
5Core Keyboard Stand Adjustable Height 34.5" Width 32.5” Z Style Electric Piano Riser 250Lb Capacity	602275963615604	KS Z1 ECO BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Dual X-Shape Adjustable Keyboard Stand for Digital & Electric Piano, Heavy Duty Foldable DJ Controller Stand – Pink	602919168501893	KS 2X GEAR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	111	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core PA Horn Speaker Set 2" Compression Driver 600W 16 Ohm Weatherproof Aluminum Body 18 TPI Thread	602273690263203		$0.11	$0.11	$0.00	0.00	0.00%	$0.00	0	0	834	12	1.43%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Drum Throne 4" Cushion Padded Stool w Backrest Airlift Height Adjustable Chair w 441Lb Capcity	603065298054246		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Drum Throne 4" Cushion Padded Stool w Backrest Airlift Height Adjustable Chair w 441Lb Capcity	603189885683547	DS CH BLK REST-LVR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Drum Throne Padded Guitar Stool Adjustable Drummer Seat for Adults & Kids RED	603166061997785	DS BLKCH RED	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core DJ Mixer Stand 12U Adjustable Rack Mount Rolling Stage Cart Pro Audio Studio Equipment w Wheel	602767166923694	RACK STAND 12U	$7.52	$7.52	$56.99	7.58	13.19%	$7.52	1	1	5,981	232	3.87%	0.43%	24	$56.99	7.58	13.19%	$7.52	1	1
5Core 6x9 Car Speaker 800W Pair 4Ohm 4 Way Coaxial Speaker Audio w Super Tweeter Universal Fit	602853678648805	CS 69 4W WoG	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	223	4	1.79%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core 6x9 Car Speaker 800W 4Pcs 4Ohm 4 Way Coaxial Speaker Audio w Super Tweeter Universal Fit	602215070706486		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	214	16	7.47%	0.00%	3	$0.00	0.00	0.00%	$0.00	0	0
5 Core Conga Mic Snare Tom Microphone Drum Kit Condenser XLR Instrument Mics	602338114818157		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	37	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Conga Mic Snare Tom Microphone Drum Kit Condenser XLR Instrument Mics	602338114783198		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	32	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Conga Mic Snare Tom Microphone Drum Kit Condenser XLR Instrument Mics GREY	602953125610541	CONGO 3 GREY	$0.19	$0.19	$0.00	0.00	0.00%	$0.00	0	0	977	26	2.66%	0.00%	2	$0.00	0.00	0.00%	$0.00	0	0
5 Core Conga Mic Snare Tom Microphone Drum Kit Condenser XLR Instrument Mics	602475553782322		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	37	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Conga Mic Snare Tom Microphone Drum Kit Condenser XLR Instrument Mics BLACK	603110965640308	CONGO 3 BLK New	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	28	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Conga Mic Snare Tom Microphone Drum Kit Condenser XLR Instrument Mics BLACK	602962655065458	CONGO 2 BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	67	1	1.49%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Capo 4Pcs Acoustic Electric Guitar 6 String Kapo Clip For Banjo Mandolin Ukulele	602617287659768		$0.08	$0.08	$9.15	114.38	0.87%	$0.04	2	2	940	29	3.08%	6.89%	8	$9.15	114.38	0.87%	$0.04	2	2
5 Core European Travel Plug Adapter w 2 USB Ports Universal Adopter for International Power Outlet	602842236613169	2U1O-C-1	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	6	2	33.33%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Tabla Mic Indian Instrument Microphone Set for Bayan & Dayan Dholak Uni-Directional Mridangam Mic for Recording Live Stage Temple & Classroom - TABLA MIC GREY	602709520413231	TABLA MIC GREY	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
