sku,name,price,sale_price,availability,units_sold_30d,ad_revenue_30d,ad_spend_30d
48273407967469,"5 Core Double Guitar Stand A Frame Shape w Foam Arms Supports Acoustic Electric Bass Ukulele Banjo",$53.00,$25.99,"in stock",2,25.99,13.32
48273408917741,"5 Core Double Guitar Stand A Frame Shape w Foam Arms Supports Acoustic Electric Bass Ukulele Banjo",$54.00,$24.99,"in stock",2,24.16,5.29
48860593815789,"5 Core Drum Throne 4"" Padded Seat w Backrest Airlift Adjustable Chair Ergonomic Drummer Stool",$190.00,$97.99,"in stock",2,90.08,14.03
48924371910893,"5 Core Drum Throne 4"" Padded Seat w Backrest Airlift Adjustable Chair Ergonomic Drummer Stool",$172.00,$85.99,"in stock",2,87.93,23.97
48924383510765,"5 Core Drum Throne 4"" Padded Seat w Backrest Airlift Adjustable Chair Ergonomic Drummer Stool",$176.00,$87.99,"in stock",2,0.00,5.47
48963094905069,"5 Core 9 Piece Drum Microphone Set w Kick Bass, Tom/Snare and Condenser Hi Hat & Cymbals Mics",$226.00,$112.99,"in stock",2,101.98,2.37
49014082830573,"5 Core Drum Throne w Backrest 4"" Padded Adjustable 26.5"" Drummer Stool w Velvet Top 441Lb Capacity",$173.00,$86.49,"out of stock",2,69.20,0.50
49080517099757,"5 Core Guitar Stool w Backrest 3.15"" Padded Chair Foldable Music Seat Built in Foot Rest Guitar Stand",$126.00,$66.99,"in stock",2,44.80,4.53
49080850776301,"5 Core Guitar Stool 3.15"" Padded Chair Foldable Music Seat w Built in Foot Rest Guitar Stand",$100.00,$49.99,"in stock",2,43.20,14.04
49080903860461,"5 Core Guitar Stool 3.15"" Padded Chair Foldable Music Seat w Built in Foot Rest Guitar Stand",$100.00,$49.99,"out of stock",2,47.99,0.56
49080932040941,"5 Core Guitar Stool 3.15"" Padded Chair Foldable Music Seat w Built in Foot Rest Guitar Stand",$98.00,$48.99,"in stock",2,66.48,1.47
49080936431853,"5 Core Guitar Stool w Backrest 3.15"" Padded Chair Foldable Music Seat Built in Foot Rest Guitar Stand",$106.00,$48.99,"in stock",2,48.05,1.89
49316418420973,"5 Core Megaphone 50W Bluetooth Rechargeable Bullhorn 1100 Yards Loud Siren w LED/USB/SD/AUX",$76.00,$37.99,"in stock",2,139.98,23.00
45952896467181,"5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono",$25.00,$10.99,"in stock",1,0.00,2.96
46671147434221,"5 Core Megaphone 100W Bull Horn Professional PA Speaker w 2000 Yards Range Loud Siren Voice Amp",$226.00,$112.99,"in stock",1,23.99,3.89
47092046594285,"5 Core Megaphone 30W Bull Horn PA Speaker w 800 Yards Range USB Loud Siren Voice Amplifier Portable",$36.00,$16.87,"in stock",1,0.00,5.30
47997529719021,"5 Core Guitar Stand A Frame w Soft Foam Arm Non Slip Rubber for Acoustic Electric Bass",$32.00,$15.99,"in stock",1,0.00,0.65
48048280535277,"5 Core DJ Lighting T Bar 4 Party Lights 2Pc 35 Inch Extension Crossbar Tbar Mount w 66 lbs Capacity",$54.00,$26.99,"out of stock",1,20.00,0.64
48273389125869,"5 Core Drum Throne 4"" Padded Saddle Seat Heavy Duty Adjustable Drumming Chair",$82.00,$48.99,"in stock",1,0.00,5.27
48273394827501,"5 Core Drum Throne 3"" Padded Seat Adjustable Drumming Chair for Practice and Performance",$66.00,$29.99,"in stock",1,25.99,5.00
48273395745005,"5 Core Drum Throne 3"" Padded Drum Seat Height Adjustable Drumming Chair for Practice and Performance",$61.00,$30.49,"in stock",1,0.00,2.60
48273398497517,"5 Core Drum Throne 4"" Padded Saddle Seat Heavy Duty Adjustable Drumming Chair",$98.00,$42.99,"in stock",1,38.40,7.98
48273399775469,"5 Core Drum Throne 4"" Padded Saddle Seat Heavy Duty Adjustable Drumming Chair",$96.00,$47.99,"in stock",1,51.47,2.01
48273399972077,"5 Core Drum Throne 5"" Padded Drummer Seat Adjustable Drumming Chair w Luxury Velvet Top",$96.00,$49.99,"in stock",1,43.19,11.69
48273401872621,"5 Core Guitar Stand Floor Adjustable Heavy Duty w Neck Holder for Acoustic Electric Classic Bass",$44.00,$15.99,"in stock",1,0.00,3.44
48273402429677,"5 Core Music Stand Adjustable Desktop Book Stands Portable Sheet Holder All Metal Foldable Bookstand",$44.00,$23.99,"in stock",1,0.00,2.63
48273414062317,"5 Core Mic Stand Floor Height Adjustable Tripod Microphone Stands w Extending Telescoping Boom Arm",$40.00,$19.89,"in stock",1,17.55,26.42
48429780173037,"5 Core Keyboard Bench 3 Inch Padded Piano Stool Adjustable 20.5"" Guitar Seat Heavy Duty Portable",$64.00,$31.99,"in stock",1,28.99,1.37
48691818594541,"5 Core Drum Throne 4"" Padded Seat w Backrest Airlift Adjustable Chair Ergonomic Drummer Stool",$162.00,$85.99,"in stock",1,119.51,10.78
48861347676397,"5 Core Drum Throne 4"" Padded Seat w Backrest Airlift Adjustable Chair Ergonomic Drummer Stool",$166.00,$82.99,"in stock",1,45.99,11.37
48861843816685,"5 Core Drum Throne 4"" Padded Seat w Backrest Airlift Adjustable Chair Ergonomic Drummer Stool",$170.00,$80.99,"in stock",1,25.99,1.88
48923902443757,"5 Core Drum Throne w Backrest 4"" Padded Stool Airlift Adjustable Drummer Chair",$164.00,$77.99,"in stock",1,102.99,5.76
48923964375277,"5 Core Drum Throne w Backrest 4"" Padded Stool Airlift Adjustable Drummer Chair",$172.00,$85.99,"in stock",1,0.00,8.04
48924398452973,"5 Core Drum Throne 4"" Padded Seat w Backrest Airlift Adjustable Chair Ergonomic Drummer Stool",$186.00,$99.99,"in stock",1,43.99,6.27
49080752767213,"5 Core Guitar Stool w Backrest 3.15"" Padded Chair Foldable Music Seat Built in Foot Rest Guitar Stand",$114.00,$56.99,"in stock",1,0.00,0.99
